Comarca,Municipi,Codi municipi,Refugi climàtic,Latitud,Longitud,Tipologia,Nom,Adreça,Telèfon,Correu,Horari,Gratuïtat,Accessibilitat,Aigua,Lavabo,Mobiliari per seure,Capacitat,Georeferència
Anoia,"Pobla de Claramunt, la",081653,Sí,41.55162598,1.67937527,Piscina,Piscina municipal Pas Blau,"C. Josep Aguilera, 4",9398086075,claramunt@lapobladeclaramunt.cat,11:00 - 20:00,No,Sí,Sí,Sí,Sí,300,POINT (1.67937527 41.55162598)
Pallars Sobirà,Sort,25560,Sí,42.4128182,1.1291667,Equipament cívic,Casal Cívic i Comunitari Sort,"C. del Doctor Carles Pol i Aleu, 8",973620989,cc.sort@gencat.cat,Juliol: dl. a dv. 09:00 - 14:00 i 15:00 - 21:00 | ds. 16:00 - 21:00 || Agost: dl. a dv. 11:00 - 19:00,Sí,Sí,Sí,Sí,Sí,69,POINT (1.1291667 42.4128182)
Maresme,"Masnou, el",081189,Sí,41.48230652,2.3248057,Equipament cívic,Casal de gent gran Ocata,"C. Jaume I, 121",NA,NA,dl. a dv. 10:00 - 12:30 i 16:30 - 19:30 | dg. 10:00 - 12:30,Sí,Sí,Sí,Sí,Sí,,POINT (2.3248057 41.48230652)
Osona,Gurb,081000,Sí,41.94011202,2.24386005,Altres,Ajuntament de Gurb,"Mas l'Esperança, s/n",938860166,ajgurb@gurb.cat,08:00 - 15:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.24386005 41.94011202)
Noguera,Alòs de Balaguer,250220,Sí,41.91210044,0.9609584,Sala polivalent,Consultori,Pl. Major,973417004,ajuntament@alosbalaguer.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,30,POINT (0.9609584 41.91210044)
Garrotxa,Olot,171143,Sí,42.18316827,2.4946218,Parc densament arbrat,Passeig Basàltic,"C. de Terrassa, 1",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.4946218 42.18316827)
Barcelonès,Barcelona,080193,Sí,41.38753742,2.1652292,Altres,Institut Català de la Salut,"G. Via de les Corts Catalanes, 587",NA,atencioalciutada.ics@gencat.cat,dl. a dv. 09:00 - 17:00,Sí,Sí,No,Sí,Sí,,POINT (2.1652292 41.38753742)
Vallès Occidental,Rubí,081846,Sí,41.49640732,2.04078548,Parc densament arbrat,Plaça de l’Aragó,Pl. de l’Aragó,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.04078548 41.49640732)
Bages,Sant Joan de Vilatorrada,082188,Sí,41.74398818,1.80717402,Biblioteca,Biblioteca Cal Gallifa,"Pg. Gallifa, 1",NA,NA,"dl., dt. i dc. 16:00 - 20:30",Sí,Sí,No,Sí,Sí,,POINT (1.80717402 41.74398818)
Vallès Oriental,"Ametlla del Vallès, l'",080057,Sí,41.66955886,2.26142753,Altres,Ajuntament de l'Ametlla del Vallès,"Pl. Ajuntament, 1",938432501,ametlla@ametlla.cat,08:00 - 15:00,Sí,Sí,Sí,Sí,Sí,15,POINT (2.26142753 41.66955886)
Anoia,Veciana,082975,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Tarragonès,Salou,439057,Sí,41.08375824,1.13546259,Parc densament arbrat,Parc Manel Albinyana,C. Tarragona,977309200,alcaldia@salou.cat,01:00 - 24:00,Sí,Sí,Sí,No,Sí,,POINT (1.13546259 41.08375824)
Alt Empordà,Biure,172348,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Tarragonès,Tarragona,431482,Sí,41.14076165,1.24659037,Equipament cívic,Centre cívic Sant Pere i Sant Pau,"Camí Pont del Diable, s/n, 43007 Tarragona",977200394,ajuntament@tarragona.cat,08:00 - 15:00,Sí,Sí,Sí,Sí,Sí,10,POINT (1.24659037 41.14076165)
Osona,Vic,082981,Sí,41.92508226,2.24934262,Altres,Parc Horta de’n Pau,Parc Horta de’n Pau,938862100,NA,Indefinit,Sí,Sí,No,No,No,,POINT (2.24934262 41.92508226)
Barcelonès,Barcelona,080193,Sí,41.44540238,2.17712112,Biblioteca,Biblioteca Les Roquetes,"Via Favència, 288 B",NA,b.barcelona.lr@diba.cat,"Juliol i Setembre: dc., dj. i dv. 09:30 - 13:30 i 15:30 - 20:00 | dl. i dt. 15:30 - 20:00 || Agost: Tancat",Sí,Sí,No,Sí,Sí,,POINT (2.17712112 41.44540238)
Conca de Barberà,Forès,430614,Sí,41.49338564,1.23560438,Sala polivalent,Local cultural de Forès,"C. Pla de la bassa, 21",977892762,secretaria@fores.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,75,POINT (1.23560438 41.49338564)
Bages,Avinyó,080121,Sí,41.86524067,1.97060421,Biblioteca,Biblioteca,"Passeig, 19",938387101,NA,dl. a dv. 15:30 - 20:00,Sí,Sí,No,Sí,Sí,,POINT (1.97060421 41.86524067)
Noguera,Balaguer,250404,Sí,41.75629,0.79704,Altres,La Bultra de les Franqueses,Marge dret del riu Segre (entre Balaguer i el Monestir Cistercenc de les Franqueses),NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (0.79704 41.75629)
Osona,"Masies de Roda, les",081167,Sí,41.99049201,2.30678342,Parc densament arbrat,La feixa,"Ctra. de Manlleu, s/n",938540027,masiesr@lesmasiesderoda.cat,Indefinit,Sí,Sí,No,No,Sí,80,POINT (2.30678342 41.99049201)
Barcelonès,Barcelona,080193,Sí,41.41672583,2.20681167,Equipament cívic,Casal de gent gran Ca L’Isidret,"C. Josep Pla, 174",NA,casalgg.calisidret@bcn.cat,Juliol: dl. a dv. 09:30 - 13:30 i 16:00 - 20:00 || Agost: Tancat || Setembre: dl. a dv. 09:30 - 13:00 i 16:00 - 19:30,Sí,Sí,No,Sí,Sí,,POINT (2.20681167 41.41672583)
Alt Empordà,Bàscara,170160,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Vallès Oriental,Lliçà de Vall,081081,Sí,41.58639733,2.23917166,Altres,Oficina d'Atenció a la Ciutadania (Ajuntament),"Pl. de la Vila, s/n",938439000,lldv.recepcio@llissadevall.cat,10:00 - 14:00,Sí,Sí,Sí,Sí,Sí,6,POINT (2.23917166 41.58639733)
Barcelonès,Barcelona,080193,Sí,41.42317425,2.1585472,Piscina,Piscines del Centre Esportiu Municipal del Carmel,"C. Pedrell, 192-202",NA,horta@eurofitness.com,Juliol i Agost: dl. a dv. 07:00 - 22:00 | ds. 09:00 - 14:30 | dg. 09:00 - 14:30 || Setembre: Indefinit,No,Sí,NA,NA,NA,,POINT (2.1585472 41.42317425)
Ribera d'Ebre,Ascó,430192,Sí,41.1802996,0.56823366,Equipament cívic,Local de joves,"C. de Baix, 1",977404025,pdij@asco.cat,Tarda,Sí,Sí,Sí,Sí,Sí,,POINT (0.56823366 41.1802996)
Vallès Occidental,Terrassa,082798,Sí,41.55792152,2.02024354,Piscina,Piscina municipal de Vallparadís,"Jdins. de Vallparadís, s/n",937363460,NA,10:10 - 14:30 i 15:30 - 19:30,No,Sí,Sí,Sí,Sí,1400,POINT (2.02024354 41.55792152)
Vallès Occidental,Sabadell,081878,Sí,41.52536709,2.11198894,Piscina,Piscina Campoamor,"C. de Pardo Bazán, 17, 08204 Sabadell, Barcelona",NA,NA,10:00 - 19:30,No,Sí,Sí,Sí,Sí,,POINT (2.11198894 41.52536709)
Vallès Occidental,Terrassa,082798,Sí,41.55698761,1.99861858,Biblioteca,Biblioteca Districte 4,"C. Infant Martí, 183",937397423,bd4@terrassa.cat,"dl., dc. i dv. 16:00 - 20:00 | dt. i dj. 09:30 - 13:30 i 16:00 - 20:00",Sí,Sí,No,Sí,Sí,,POINT (1.99861858 41.55698761)
Barcelonès,Barcelona,080193,Sí,41.41860939,2.14813926,Piscina,Piscina del Parc de la Creueta del Coll,"Pg. Mare de Déu del Coll, 89",NA,NA,Juliol i Agost: dl. a dv. 09:30 - 19:30 | ds. 10:00 - 20:00 | dg. 10:00 - 20:00 || Setembre: Fins el 3: dl. a dv.09:30 - 19:30,Sí,NA,NA,NA,NA,,POINT (2.14813926 41.41860939)
Maresme,Sant Andreu de Llavaneres,081976,Sí,41.57323783,2.48472453,Equipament cívic,Casal gent gran,"C. Mare de Déu de Montserrat, 35",937927120,casalgentgran@ajllavaneres.cat,09:00 - 19:00,Sí,Sí,Sí,Sí,Sí,20,POINT (2.48472453 41.57323783)
Segrià,Lleida,251207,Sí,41.62795883,0.62631271,Altres,Cafeteria Centre cívic Balàfia,"C. Terrassa, 1",630345693,NA,09:30 - 13:30 i 16:30 - 19:30,Sí,Sí,Sí,Sí,Sí,20,POINT (0.62631271 41.62795883)
Alt Camp,"Riba, la",431248,Sí,41.3169246,1.17975971,Piscina,Piscina municipal,"C. Pilats, 1",NA,ajuntament@riba.cat,11:00 - 19:00,No,Sí,No,Sí,Sí,441,POINT (1.17975971 41.3169246)
Barcelonès,Barcelona,080193,Sí,41.38305353,2.16692192,Espai cultural,MACBA,"Pl. dels Àngels, 1",NA,comunicacio@macba.cat,dl. a dv. 10:00 - 19:30 | ds. 10:00 - 19:30 | dg. i festius 10:00 - 14:30,Sí,Sí,Sí,Sí,Sí,,POINT (2.16692192 41.38305353)
Vallès Occidental,Terrassa,08226,Sí,41.5774399,2.0243088,Equipament cívic,Casal Cívic i Comunitari Terrassa - Sant Pere Nord,"Rbla. de Francesc Macià, 257",937846832,cc.terrassasantperenord@gencat.cat,dl. a dv. 09:00 - 21:00 | dg. 10:00 - 21:00,Sí,Sí,Sí,Sí,Sí,150,POINT (2.0243088 41.5774399)
Maresme,Argentona,080095,Sí,41.55450194,2.40209,Biblioteca,Biblioteca d'Argentona - Joan Fontcuberta i Gel,"C. Gran, 3-5",937971215,biblioargentona@argentona.cat,dl. a dv. 10: 00 - 13:00 i 16:00 - 20:00 || Vacances del 29/07/2024 al 18/08/2024,Sí,Sí,No,Sí,Sí,100,POINT (2.40209 41.55450194)
Baix Ebre,"Aldea, l'",439044,Sí,40.74497457,0.62132173,Equipament cívic,Casal de joves de L'Aldea,"Av. Francesc Robert Graupera, s/n",977451961,ajuntament@laldea.cat,10:00 - 21:00,Sí,Sí,Sí,Sí,Sí,100,POINT (0.62132173 40.74497457)
Barcelonès,Barcelona,080193,Sí,41.38163443,2.17970749,Equipament cívic,Casal de gent gran Pati Llimona,"Correu Vell, 5",NA,pllimona@esport3.org,dl. a dv. 10:00 - 13:00 i 15:00 - 19:30 | ds. 10:00 - 13:00 i 15:00 - 19:30 | dg. 10:00 - 13:00 i 15:00 - 19:30,Sí,No,No,Sí,Sí,,POINT (2.17970749 41.38163443)
Osona,Tona,082830,Sí,41.84947959,2.22772867,Equipament cívic,Sala Annexa de Can Codina,"Ctra. de Manresa, 2",NA,NA,"Tardes de dl. a dv., del 9 al 12 d'agost",Sí,Sí,No,Sí,Sí,95,POINT (2.22772867 41.84947959)
Pla de l'Estany,Camós,170353,Sí,42.09453246,2.76653499,Equipament cívic,Local social,"C. de Can Ponç, 2",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,60,POINT (2.76653499 42.09453246)
Barcelonès,Barcelona,080193,Sí,41.38606281,2.12021081,Biblioteca,CRAI Biblioteca de Biologia (UB),"Av. Diagonal, 643",NA,craibiologia@ub.edu,Juliol i Setembre: dl. a dv. 08:00 - 20:00 || Agost: Tancat,Sí,Sí,Sí,Sí,Sí,,POINT (2.12021081 41.38606281)
Vallès Occidental,Sabadell,081878,Sí,41.56243998,2.07959383,Parc densament arbrat,Parc Odessa,"Av. d'Estrasburg, 112, 08206 Sabadell, Barcelona",NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (2.07959383 41.56243998)
Alt Empordà,"Jonquera, la",170865,Sí,42.4159,2.87393,Equipament cívic,Porxos de Can Laporta,"C. Major, 2",972555713,canlaporta@lajonquera.cat,09:00 - 19:00,Sí,Sí,Sí,Sí,Sí,100,POINT (2.87393 42.4159)
Alt Empordà,"Escala, l'",170622,Sí,42.125845,3.132564,Biblioteca,Biblioteca Víctor Català,"Pl. Víctor Català, 10",972771707,biblioteca@lescala.cat,10:00 - 13:00 i 16:00 - 20:00,Sí,Sí,No,Sí,Sí,60,POINT (3.132564 42.125845)
Selva,Maçanet de la Selva,171030,Sí,41.77841248,2.73437546,Equipament cívic,Casal dels jubilats del Poble,"C. Dolors, 48",972165214,NA,dl. a dv. 16:00 - 20:00,Sí,Sí,No,Sí,Sí,50,POINT (2.73437546 41.77841248)
Priorat,Falset,430555,Sí,41.145098,0.818752,Parc densament arbrat,Plaça Neus Català i rentadors,"C. Baix, 41",NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (0.818752 41.145098)
Baix Llobregat,Molins de Rei,08750,Sí,41.4042231,2.0262042,Equipament cívic,Casal Cívic i Comunitari Molins de rei - Riera Bonet,"C. de Ca la Còrdia, 5",936800996,cc.rierabonet@gencat.cat,dl. a dv. 09:00 - 13:00 i 15:30 - 22:00,Sí,Sí,Sí,Sí,Sí,182,POINT (2.0262042 41.4042231)
Baix Ebre,Aldover,430069,Sí,40.88103883,0.49932268,Equipament cívic,Casal municipal Sant Jordi d'Aldover,"Av. Catalunya, s/n",NA,NA,Indefinit,Sí,Sí,No,Sí,Sí,100,POINT (0.49932268 40.88103883)
Alt Urgell,Oliana,251497,Sí,42.0670664,1.31629434,Equipament cívic,Punt jove,"C. de l'Esport, s/n",NA,NA,11:00 - 20:00,Sí,Sí,No,Sí,Sí,,POINT (1.31629434 42.0670664)
Vallès Occidental,Rubí,081846,Sí,41.4926869,2.033071,Espai cultural,Ateneu municipal,"C. Xile, 1-3, 08191 Rubí",935887473,ateneu@ajrubi.cat,"dj. i ds. 10:00 - 14:00 | dl., dt., dc. i dv. 10:00 - 14:00 i 16:00 - 20:00 || Agost tancat",Sí,Sí,No,Sí,Sí,10,POINT (2.033071 41.4926869)
Alt Urgell,Montferrer i Castellbò,251403,Sí,42.34625194,1.42426916,Sala polivalent,Sala d'actes de Montferrer,"C. la Coma, 4",973351343,ajuntament@montferrercastellbo.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,250,POINT (1.42426916 42.34625194)
Baix Llobregat,Santa Coloma de Cervelló,082444,Sí,41.3656064,2.00772158,Piscina,Piscina de Can Via,"C. Rossinyol, s/n",936450700,scc.ajuntament@santacolomadecervello.cat,Indefinit,No,Sí,No,Sí,Sí,150,POINT (2.00772158 41.3656064)
Noguera,Balaguer,25600,Sí,41.7883262,0.803015,Equipament cívic,Casal Cívic i Comunitari Balaguer - El Miracle,"C. del Miracle, 23 (cant. Germà Peralba)",973450462,balaguerelmiracle.casal@gencat.cat,dl. a dv. 09:00 - 14:00 i 15:00 - 21:00,Sí,Sí,Sí,Sí,Sí,158,POINT (0.803015 41.7883262)
Baix Camp,Botarell,430332,Sí,41.13679054,0.98813643,Piscina,Piscina municipal,"C. del Corralot, s/n",977826130,ajuntament@botarell.cat,12:00 - 20:00,No,Sí,Sí,Sí,Sí,400,POINT (0.98813643 41.13679054)
Baix Ebre,Deltebre,439018,Sí,40.72494642,0.7257565,Piscina,Piscina CED,Av. del Canal,NA,NA,Indefinit,No,Sí,Sí,Sí,Sí,,POINT (0.7257565 40.72494642)
Alt Empordà,Pau,171289,Sí,42.31652275,3.11830582,Piscina,Piscina muncipal,"C. Sant Pere, 12",NA,NA,09:00 - 14:00 i 15:00 - 20:00,No,Sí,Sí,Sí,Sí,,POINT (3.11830582 42.31652275)
Baix Empordà,Ultramort,172039,Sí,42.03767904,3.03604433,Equipament cívic,Centre cívc,"C. Torroella, s/n",972769161,ajuntament@ultramort.cat,dl. a dv. 16:00 - 19:00,Sí,Sí,Sí,Sí,Sí,150,POINT (3.03604433 42.03767904)
Urgell,Vallbona de les Monges,252385,Sí,41.53906854,1.08800114,Piscina,Piscina municipal,"Pg. Montesquiu, 25268 Vallbona de les Monges, Lleida",NA,NA,11:00 - 22:00,Sí,Sí,Sí,Sí,Sí,50,POINT (1.08800114 41.53906854)
Alt Empordà,Albanyà,170031,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alt Empordà,Portbou,171387,Sí,42.42604726,3.16194408,Espai cultural,Sala Congesta,"C. Mendez Nuñez, 19",972390284,portbou@portbou.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,150,POINT (3.16194408 42.42604726)
Garraf,Vilanova i la Geltrú,083073,Sí,41.22243346,1.71847754,Equipament cívic,Centre cívic Sant Joan,"Jardins Francesc Macià, s/n",NA,NA,09:30 - 13:00 i 16:30 - 19:30,Sí,Sí,Sí,Sí,Sí,120,POINT (1.71847754 41.22243346)
Alt Penedès,Sant Sadurní d'Anoia,082401,Sí,41.42524996,1.78573554,Biblioteca,Biblioteca ramon Bosch de Noya,"Pl. Homenatge a la vellesa, 10",938912033,biblioteca@santsadurni.cat,dl. 15:30 - 20:00 | dt. a dv. 09:30 - 13:30 i 15:30 - 20:00 | ds. 09:30 - 13:30 || Tancat del 29/7 al 18/8,Sí,Sí,Sí,Sí,Sí,,POINT (1.78573554 41.42524996)
Vallès Occidental,Sabadell,081878,Sí,41.54763559,2.0808544,Parc densament arbrat,Parc Can Gambús,"C. del Kurdistan, s/n, 08205 Sabadell, Barcelona",NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (2.0808544 41.54763559)
Solsonès,Solsona,252075,Sí,41.99499313,1.51714903,Biblioteca,Biblioteca Carles Morató,"Pl. de Ramon Llumà, 1",973483839,biblioteca.solsona@ajsolsona.cat,Indefinit,Sí,Sí,No,Sí,Sí,80,POINT (1.51714903 41.99499313)
Barcelonès,Barcelona,080193,Sí,41.4290388,2.20372164,Parc densament arbrat,Parc Via Trajana,"C. Santander, 58",NA,NA,Indefinit,Sí,Sí,NA,No,NA,,POINT (2.20372164 41.4290388)
Barcelonès,Barcelona,080193,Sí,41.40900766,2.15194709,Altres,Mercat de Lesseps,"C. Verdi, 200-210",NA,NA,"Juliol i Setembre: dl., dc. i dj. 08:00 - 15:00 | dt. i dv. 08:00 - 20:00 | ds. 08:00 - 15:00 || Agost: Tancat",Sí,Sí,Sí,Sí,Sí,,POINT (2.15194709 41.40900766)
Gironès,Sant Jordi Desvalls,171668,Sí,42.07150128,2.95327246,Altres,Bar El Social,"C. Dr. Messeguer, s/n",NA,NA,08:00 - 22:00,Sí,Sí,No,Sí,Sí,,POINT (2.95327246 42.07150128)
Vallès Occidental,Sabadell,08202,Sí,41.547914,2.1082504,Equipament cívic,Casal Cívic i Comunitari Sabadell - Casal,"C. de Sant Josep, 22",937260888,cc.sabadellcentre@gencat.cat,dl. a dv. 09:00 - 21:00,Sí,Sí,Sí,Sí,Sí,150,POINT (2.1082504 41.547914)
Baix Ebre,Roquetes,431331,Sí,40.80908424,0.49524842,Altres,Plaça Pare Cirera,Pl. Pare Cirera,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (0.49524842 40.80908424)
Vallès Oriental,Gualba,080977,Sí,41.72980786,2.50499685,Equipament cívic,Can Sanmarti,"Pg. Montseny, 60",938487027,gualba@gualba.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,30,POINT (2.50499685 41.72980786)
Vallès Oriental,Vallgorguina,082943,Sí,41.66212423,2.46579985,Altres,Local Associació propietaris Baronia del Montseny,"Av. del Montseny, 0",NA,NA,Indefinit,Sí,Sí,No,Sí,Sí,40,POINT (2.46579985 41.66212423)
Tarragonès,"Pobla de Mafumet, la",431093,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osona,Tavèrnoles,082750,Sí,41.95226696,2.32604351,Equipament cívic,Centre cívic,"C. Montseny, 2",938887308,tavernoles@tavernoles.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,60,POINT (2.32604351 41.95226696)
Vallès Occidental,Sabadell,081878,Sí,41.56122268,2.1301371,Equipament cívic,Centre cívic Poblenou,"C. del Remei, 1-9",937272279,NA,09:00 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.1301371 41.56122268)
Maresme,Argentona,080095,Sí,41.57357688,2.38127979,Equipament cívic,Centre civic de les Ginesteres,"C. Ignasi Barraquer i Barraquer, 14, 8 (Urb. les Ginesteres)",937974900,NA,dt. 8:30 - 14:00  || Agost tancat,Sí,Sí,No,Sí,Sí,30,POINT (2.38127979 41.57357688)
Bages,Callús,080386,Sí,41.7812482,1.78314821,Sala polivalent,Casal del poble,"Pg. Anselm Clavé, 21, 08262 Callús",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,360,POINT (1.78314821 41.7812482)
Barcelonès,Barcelona,080193,Sí,41.36320426,2.13842968,Parc densament arbrat,Parc de Can Sabaté,"C. Mineria, 16",NA,NA,dl. a dv. 10:00 - 22:30 | ds. 10:00 - 22:30 | dg. 10:00 - 22:30,Sí,Sí,NA,No,NA,,POINT (2.13842968 41.36320426)
Alt Penedès,Gelida,080919,Sí,41.4398337,1.86393882,Espai cultural,Centre d'iniciatives culturals (cic),"C. del Mossèn Jaume Via, 17",937969891,NA,09:00 - 16:00,Sí,Sí,No,Sí,Sí,,POINT (1.86393882 41.4398337)
Vallès Occidental,Rubí,081846,Sí,41.48949349,2.02730999,Parc densament arbrat,Parc de la Font de la Via,Parc de la Font de la Via,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.02730999 41.48949349)
Barcelonès,Barcelona,080193,Sí,41.44842412,2.19994299,Equipament cívic,Centre cívic i Espai de gent gran de Baró de Viver,"C. Quito, 8",NA,ccbaroviver@bcn.cat,Juliol: dl. a dv. 10:00 - 14:30 i 16:00 - 21:30 || Agost: dl. a dv. 16:00 - 20:00 || Setembre: dl. a dv. 10:00 - 14:30 i 16:00 - 21:30 | ds. 10:00 - 14:00 i 16:00 - 20:00,Sí,Sí,No,Sí,Sí,,POINT (2.19994299 41.44842412)
Vallès Oriental,Cardedeu,080462,Sí,41.63801664,2.36258306,Espai cultural,Fàbrica de Cultura- Tèxtil Rase,"C. Llinars, 61",NA,NA,dl. a dj. 09:30 - 22:00 | dv. 09:30 - 21:00 || Tancat del 19 d’agost al 8 de setembre,Sí,Sí,Sí,Sí,Sí,200,POINT (2.36258306 41.63801664)
Osona,Santa Maria de Besora,082536,Sí,42.12633849,2.25699433,Sala polivalent,Sala polivalent,"Pg. Pla de Teia, s/n",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (2.25699433 42.12633849)
Barcelonès,Barcelona,080193,Sí,41.42976663,2.19273391,Piscina,Piscines del Centre Esportiu Municipal Sant Andreu - La Sagrera,"C. Sta. Coloma, 25",NA,cemsantandreu-lasagrera@cnsantandreu.com,Juliol i Agost: dl. a dv. 06:30 - 21:30 | ds. 06:30 - 20:00 | dg. 08:00 - 13:00 || Setembre: Indefinit,No,Sí,NA,NA,NA,,POINT (2.19273391 41.42976663)
Gironès,Girona,170792,Sí,41.98972731,2.80017964,Parc densament arbrat,Parc de Domeny,Parc de Domeny,972419000,ajuntamentinforma@ajgirona.cat,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.80017964 41.98972731)
Baix Camp,Reus,431233,Sí,41.14842638,1.10476266,Parc densament arbrat,Passeig Misericòrdia,"Pg. de Misericòrdia, 43205 Reus, Tarragona",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (1.10476266 41.14842638)
Barcelonès,"Hospitalet de Llobregat, l'",081017,Sí,41.36808675,2.10508259,Parc densament arbrat,Parc de les Planes,"C. Teide, 88",934029620,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.10508259 41.36808675)
Baix Camp,Reus,431233,Sí,41.16679388,1.1021353,Equipament cívic,Casal municipal de Joves,"C. de Castellvell, 24, 43202 Reus, Tarragona",977010268,info.joventut@reus.cat,dl. a dv. 10:00 - 14:00 || Tancat del 12 al 16 d'agost,Sí,Sí,Sí,Sí,Sí,,POINT (1.1021353 41.16679388)
Barcelonès,Barcelona,080193,Sí,41.36853111,2.1569403,Parc densament arbrat,Jardins de Laribal,"Pg. Santa Madrona, 2",NA,NA,dl. a dv. 10:00 - 22:30 | ds. 10:00 - 22:30 | dg. 10:00 - 22:30,Sí,Sí,NA,No,NA,,POINT (2.1569403 41.36853111)
Baix Llobregat,Sant Andreu de la Barca,081960,Sí,41.45030892,1.97116997,Altres,Ajuntament Sant Andreu De La Barca,"Pl. Ajuntament, 1",936356400,NA,09:00 - 14:00,Sí,Sí,No,Sí,Sí,25,POINT (1.97116997 41.45030892)
Baix Empordà,"Bisbal d'Empordà, la",170221,Sí,41.95657056,3.03908368,Parc densament arbrat,Parc 8 de març,"Av. de Josep Irla, 11",NA,NA,11:00 - 20:00,Sí,Sí,Sí,Sí,Sí,,POINT (3.03908368 41.95657056)
Barcelonès,Barcelona,080193,Sí,41.42816686,2.14496451,Poliesportiu,CEM Olímpics Vall d'Hebron,"Pg. Vall Hebron, 166-176",934283952,olimpics@egora.cat,dl. a dv. 07:00 - 22:30 | ds. 09:00 - 20:00 | dg. 09:00 - 15:00,Sí,Sí,No,Sí,Sí,,POINT (2.14496451 41.42816686)
Baix Llobregat,Sant Joan Despí,082172,Sí,41.36866813,2.05235308,Poliesportiu,Poliesportiu muncipal Salvador Gimeno,"C. Major, 75",934776820,psgimeno@sjdespi.net,"Juny, juliol i setembre: dl. a dv. 06:30 - 22:30 | ds. 08:00 - 21:00 | dg. 09:00 - 14:30 || Agost: fins 15/08 dl. a ds. 12:00 - 18:00 | fins 31/08 dl. a dv. 06:30 - 22:30 | ds. 08:00 - 21:00",Sí,Sí,No,Sí,Sí,,POINT (2.05235308 41.36866813)
Osona,Vic,082981,Sí,41.92960608,2.24878377,Parc densament arbrat,Renfe - Mn. Gudiol,Renfe - Mn Gudiol,938862100,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (2.24878377 41.92960608)
Vallès Occidental,Sant Quirze del Vallès,082384,Sí,41.5359766,2.08263731,Piscina,Poliesportiu Can Casablanques,"C. Priorat, s/n",937213975,oac@santquirzevalles.cat,09:00 - 21:00,No,Sí,Sí,Sí,Sí,300,POINT (2.08263731 41.5359766)
Alt Urgell,"Seu d'Urgell, la",25700,Sí,42.3596704,1.454723,Equipament cívic,Casal Cívic i Comunitari la Seu d'Urgell,"Av. de Joan Garriga i Massó, 22-26 baixos",973361545,cc.laseudurgell@gencat.cat,dl. a dv. 09:00 - 14:00 i 15:30 - 21:00,Sí,Sí,Sí,Sí,Sí,64,POINT (1.454723 42.3596704)
Baix Llobregat,Begues,080207,Sí,41.33073591,1.918417,Biblioteca,Biblioteca La Ginesta,"Pl. de l'U d'Octubre de 2017, 1, 08859 Begues",936392808,NA,Fins 02/08: dl. a dv. 15:00 - 20:30,Sí,Sí,No,Sí,Sí,,POINT (1.918417 41.33073591)
Baix Penedès,"Bisbal del Penedès, la",430287,Sí,41.28530938,1.47242342,Altres,Local social Priorat,Av. Priorat,NA,NA,17:00 - 20:00,Sí,Sí,Sí,Sí,Sí,50,POINT (1.47242342 41.28530938)
Vallès Occidental,Santa Perpètua de Mogoda,082606,Sí,41.52149702,2.18204831,Parc densament arbrat,Parc d'Europa,"Pg. de Can Taió, 75, 08130 Santa Perpètua de Mogoda",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.18204831 41.52149702)
Bages,Manresa,081136,Sí,41.7243339,1.81756932,Altres,Associació de veïns Valldaura,"C. Ausiàs March, 10",938729567,avvalldaura@yahoo.es,Indefinit,Sí,Sí,Sí,Sí,Sí,25,POINT (1.81756932 41.7243339)
